,index,Id,0,Location,User Time Zone,index,TMZ Location
0,0,AL85S14OMDPF01I9,,,Sydney,0,Australia
1,5,0FEKBQ59AF1LQKJP,,,Eastern Time (US & Canada),1,
2,9,5JIAFD6132MNPAL9,,,Beijing,2,China
3,14,PS3NFITO4RQGQL9R,,,,3,
4,17,DPL84B2Q7C7CPM5O,,,West Central Africa,4,Central Africa
5,19,ORQMDHLH6NS0G0M0,,,London,5,UK
6,21,L4MD8S7I854CCA79,,,Eastern Time (US & Canada),6,
7,26,7379R4EBF9P956HN,,,Central Time (US & Canada),7,USA
8,30,9RC1RTSBR3AJSFBN,,,Tokyo,8,Japan
9,32,FLCS4PR3B5592578,,次元の狭間,Seoul,9,South Korea
10,41,6TI9B2OAS2A04S0Q,,,Pacific Time (US & Canada),10,
11,45,QDIFS77N82S04C34,,,Pacific Time (US & Canada),11,
12,56,DT6250ORM1DCIP66,,,Greenland,12,Greenland
13,72,47F3BAJDBMJDQS53,,,Mountain Time (US & Canada),13,USA
14,73,2DE3IQG14BA0MDAD,,,Central Time (US & Canada),14,USA
15,75,F3897S7G88BTS462,,,Central Time (US & Canada),15,USA
16,77,TM8RE7STJ8RFJ30C,,,,16,
17,78,JTBRP70BD5ASAHNA,,,Pacific Time (US & Canada),17,
18,80,4BDSL0P0337096G9,,,Hong Kong,18,Hong Kong
19,84,L3SE27BJ5DJBC4L7,,,New Delhi,19,India
20,89,S0LK0TOT5NGMDB14,,,London,20,UK
21,95,NLA452GBKSD0AEO5,,680+ properties. 54 countries,Central Time (US & Canada),21,USA
22,99,PHTS8MA14R1MBOC4,,,Quito,22,Ecuador
23,102,DLIK1R2C4HF6T2KR,,,Pacific Time (US & Canada),23,
24,110,5JP03NNMQGMJ9GNS,,,Eastern Time (US & Canada),24,
25,111,0656LC7K9D5CM3LA,,,Pacific Time (US & Canada),25,
26,115,DNIFD127FDL9EATB,,,Osaka,26,Japan
27,119,7H722724059T49AJ,,,,27,
28,126,I9HJOF4S0GPJ3LBK,,,,28,
29,128,LJN4MPKMROPGKMQN,,,Hawaii,29,USA
30,134,9RBEKM9AQ76GOAS7,,,Eastern Time (US & Canada),30,
